Index,Title,Company,Date posted,Valid until,Education requirements,Standardized Work Position,Actual Position Name,Seniority,Technology,Location,Online Interview,Accepts Students,Work from Home,Simple Work Position Names,Search Term
58,Cloud Data Engineer,A1 Srbija,10-01-24,09-02-24,Bachelor,Big Data Specialist,Cloud Data Engineer,intermediate,"Python, AWS, Docker, Jenkins, Azure, DevOps, Batch, Cloud, Kafka, Kubernetes, Express",Belgrade,FALSE,FALSE,FALSE,Data Engineer,Data Engineer
59,Salesforce Developer,Engineering Software Lab d.o.o.,10-01-24,10-02-24,Bachelor,Software Developer / Programmer / Engineer,Salesforce Developer,intermediate,"SOAP, APEX, REST",Belgrade | Hybrid,FALSE,FALSE,FALSE,Software Developer,FALSE
60,Software Developer,Danieli Systec Engineering d.o.o.,12-01-24,28-01-24,Bachelor,Software Developer / Programmer / Engineer,Software Developer,intermediate,".NET, C#, SQL, C++, Oracle, C, PL/SQL",Remote,FALSE,FALSE,FALSE,Software Developer,FALSE
61,SAP Consultant (FI/CO/SD/MM/PP/PM/QM/WM/EWM),Engineering Software Lab d.o.o.,27-12-23,27-01-24,Bachelor,ERP/SAP/ABAP Consultant,SAP Consultant (FI/CO/SD/MM/PP/PM/QM/WM/EWM),intermediate,SAP,Belgrade | Hybrid,FALSE,FALSE,FALSE,ERP/SAP/ABAP Consultant,FALSE
62,Cloud Engineer,Coming - Computer Engineering d.o.o.,11-01-24,27-01-24,Bachelor,System Administrator / Engineer,Cloud Engineer,intermediate,"Linux, VMware, Windows, PowerShell, Bash, Cloud",Belgrade | Hybrid,TRUE,FALSE,FALSE,System Administrator,FALSE
63,Data Architect - Catalog Owner,Robert Bosch d.o.o.,15-01-24,31-01-24,Bachelor,IT Architect,Data Architect - Catalog Owner,intermediate,SQL,Belgrade | Hybrid,FALSE,FALSE,FALSE,Data Architect,FALSE
64,IT System Engineer,TeleTrader d.o.o.,22-01-24,22-02-24,Bachelor,System Administrator / Engineer,IT System Engineer,intermediate,"Linux, Windows Server, Windows, Proxy",Belgrade,TRUE,FALSE,FALSE,System Administrator,FALSE
65,DevOps Engineer,Playstudios International Europe,28-12-23,28-01-24,Bachelor,DevOps System Administrator / Engineer,DevOps Engineer,intermediate,"MySQL, Linux, Unix, Python, Jenkins, Couchbase, DevOps, Bash, MongoDB, Kubernetes, hadoop, Apache Spark",Belgrade | Hybrid,TRUE,FALSE,FALSE,DevOps Engineer,FALSE
66,DevOps Engineer,Sedecom Solutions,20-01-24,05-02-24,Bachelor,DevOps System Administrator / Engineer,DevOps Engineer,intermediate,"MySQL, Linux, NoSQL, Python, AWS, Perl, Docker, Ansible, Jenkins, Redis, DevOps, Bash, Cloud, MongoDB, Kafka, Kubernetes",Belgrade | Hybrid,FALSE,TRUE,FALSE,DevOps Engineer,FALSE
67,Security Engineer,P3 RS,09-01-24,09-02-24,Bachelor,Security Expert,Security Engineer,intermediate,"Azure, Cloud",Belgrade | Hybrid,FALSE,FALSE,FALSE,Security Expert,FALSE
